id_ISO_lang,id_name_lang,latitude,longitude,lang_continent_lang,lang_subregion_lang,response_AES_lang,response_EGIDS_lang,soceco_GDP.2010USD.10yr.median_country,lang_L1.POP_lang,soceco_Gini.SWIID.10yr.median_country,edu_Ed.spending.pcGDP.10yr.median_country,edu_Mean.yr.school.10yr.median_country,soceco_Life.exp.birth.10yr.median_country,soceco_Life.exp.sixty.average_country,soceco_gdp.pcap.10yrmed_country,soceco_expense.pcGDP.10yrmed_country,edu_ed.sp.prm.pcGDP.10yrmed_country,edu_ed.sp.sec.pcGDP.10yrmed_country,edu_ed.sp.tert.pcGDP.10yrmed_country,edu_ed.sp.tot.pcxpd.10yrmed_country,landuse_urban.change_country,worldlang_world.language.as.official_country,edu_minority.education.policy_country,worldlang_Arabic_country,worldlang_Bahasa_country,worldlang_English_country,worldlang_French_country,worldlang_Hindustani_country,worldlang_Mandarin_country,worldlang_Portuguese_country,worldlang_Russian_country,worldlang_Spanish_country,edu_used.in.education_lang,lang_type_lang,div_language.richness_nb,div_threatened.languages_nb,div_prop.threatened.languages_nb,div_language.evenness_nb,conn_nav.water_nb,Western_Africa,Oceania,Europe,Southern_Asia,South_America,Northern_America,Africa,South-Eastern_Asia,Arab,Asia,Central_America,Australia_and_New_Zealand
aiw,Ari,6,36.58333333,Oceania,Oceania,moribund,6b,14250726290,50,47.8,2.01,4,64.634,16.84059019,1928.29268,20.99035823,30.07011,21.66349,40.42654,10.6982,9.377,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,9,2,0.222222222,0.509288679,0.006265206,0,1,0,0,0,0,0,0,0,0,0,0
aad,Amal,-4.05,142,Oceania,Oceania,shifting,6a,14250726290,830,47.8,2.01,4,64.634,16.84059019,1928.29268,20.99035823,30.07011,21.66349,40.42654,10.6982,9.377,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,37,9,0.243243243,0.798589116,0,0,1,0,0,0,0,0,0,0,0,0,0
aae,Arbëreshë Albanian,40.9321,14.8645,Europe,Europe,threatened,6b,2.13E+12,100000,33.1,4.164720058,9.7,82.03658537,24.62641265,36000.52012,42.76533294,24.97218,42.97316,18.59916,8.723950386,10.783,0,0,0,0,0,0,0,0,0,0,0,0,prevalent,2,0,0,0.433708426,0.016463939,0,0,1,0,0,0,0,0,0,0,0,0
aaf,Aranadan,11.35,75.8,Asia,Southern Asia,shifting,6b,1.68E+12,200,46.45,3.42347002,5.4,66.625,17.73565852,1357.563719,15.25786002,27.21284,38.7325,32.1669,11.83368015,15.676,1,1,0,0,1,0,1,0,0,0,0,0,prevalent,20,4,0.2,0.359379186,0.015051944,0,0,0,1,0,0,0,0,0,0,0,0
aai,Arifama-Miniafia,-9.518239975,149.349884,Oceania,Oceania,shifting,5,14250726290,3470,47.8,2.01,4,64.634,16.84059019,1928.29268,20.99035823,30.07011,21.66349,40.42654,10.6982,9.377,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,9,1,0.111111111,0.736094848,0.002573671,0,1,0,0,0,0,0,0,0,0,0,0
aal,Afade,11.33333333,15.33333333,Africa,Western Africa,threatened,6b,71570974230,5000,42.93817252,2.807395249,5.286514377,54.80676302,16.28005601,1422.171446,11.50107295,29.58521758,45.39791739,8.830730064,13.58328502,40.79742646,1,0,0,0,1,0.865143767,0,0,0,0,0,0,prevalent,11,6,0.545454545,0.318161114,0.046885317,1,0,0,0,0,0,0,0,0,0,0,0
aan,Anambé,-2.592,-49.483,South America,South America,extinct,8b,2.21E+12,6,46.3,5.648799896,6.9,73.838,21.67862894,11286.24302,30.17779569,31.32595,44.11814,16.76335,14.72692966,40.17,1,1,0,0,0,0,0,0,1,0,0,0,prevalent,1,0,0,0,0.006966087,0,0,0,0,1,0,0,0,0,0,0,0
aas,Aasax,-5.1948,37.738,Africa,Africa,extinct,8b,32014249841,350,44.2,4.04365015,5.1,60.893,18.01799225,743.4037847,14.83107431,49.15943,16.66065,25.82277,18.14314079,27.807,1,0,0,0,1,0,0,0,0,0,0,0,prevalent,5,0,0,0.701175425,0,0,0,0,0,0,0,1,0,0,0,0,0
aat,Arvanitika Albanian,38.1863,23.6096,Europe,Europe,threatened,7,2.99E+11,50000,33.2,3.963959932,10.3,80.38780488,23.71208717,26917.75898,50.52704012,,33.94361,36.0952,8.700209618,22.788,0,0,0,0,0,0,0,0,0,0,0,0,prevalent,3,1,0.333333333,0.021846961,0.027326189,0,0,1,0,0,0,0,0,0,0,0,0
aau,Abau,-4,141.25,Asia,South-Eastern Asia,shifting,5,14250726290,7270,47.8,2.01,4,64.634,16.84059019,1928.29268,20.99035823,30.07011,21.66349,40.42654,10.6982,9.377,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,26,8,0.307692308,0.104573911,0,0,0,0,0,0,0,0,1,0,0,0,0
aaz,Amarasi,-10.08,124.33,Asia,South-Eastern Asia,threatened,5,7.55E+11,70000,45.6,3.238724947,7.6,68.15,16.5115696,3122.362815,15.37115914,44.06124,25.76582,15.426505,17.63772488,40.073,1,0,0,1,0,0,0,0,0,0,0,0,prevalent,3,0,0,0.546871162,0.020072044,0,0,0,0,0,0,0,1,0,0,0,0
abb,Bankon,4.416666667,9.583333333,Africa,Africa,threatened,6b,26143818510,12000,43.1,2.768019915,5.3,55.424,16.68520433,1286.515572,13.2938286,34.19688,52.47442,10.20724,15.70061016,41.84,1,0,0,0,1,1,0,0,0,0,0,0,prevalent,16,5,0.3125,0.687052215,0.087283401,0,0,0,0,0,0,1,0,0,0,0,0
abd,Camarines Norte Agta,13.884,122.264,Asia,South-Eastern Asia,threatened,6a,2E+11,3800,41.6,2.595340014,9,68.32,17.17240194,2217.474009,13.58159941,51.31508,26.10296,11.28228,13.26852989,16.385,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,2,0,0,0.482066148,0.034343899,0,0,0,0,0,0,0,1,0,0,0,0
abe,Western Abenaki,44,-72.25,North America,Northern America,nearly extinct,8b,1.0641E+13,14,35.31651288,5.071978187,13.00467308,79.42202256,23.72368968,49109.33811,21.00782123,20.93293257,32.10816768,30.04547777,13.64039726,12.13589868,1,0.674455137,0,0,1,0.325544863,0,0,0,0,0,0,prevalent,3,0,0,0.435720799,0.027682691,0,0,0,0,0,1,0,0,0,0,0,0
abf,Abai Sungai,5.587,118.3695,Asia,South-Eastern Asia,shifting,7,2.55E+11,0,41.2,5.094384909,9.8,74.21,19.52927447,9040.566251,19.56798738,30.98669,31.68012,34.45404,18.9594698,48.849,1,0,0,1,1,0,0,0,0,0,0,0,prevalent,7,3,0.428571429,0.282319776,0.096894473,0,0,0,0,0,0,0,1,0,0,0,0
abg,Abaga,-6.1883,145.5976,Oceania,Oceania,nearly extinct,8b,14250726290,5,47.8,2.01,4,64.634,16.84059019,1928.29268,20.99035823,30.07011,21.66349,40.42654,10.6982,9.377,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,46,5,0.108695652,0.766865396,0.024335501,0,1,0,0,0,0,0,0,0,0,0,0
abj,Akabea,11.66666667,92.5,Asia,Southern Asia,extinct,10,1.68E+12,0,46.45,3.42347002,5.4,66.625,17.73565852,1357.563719,15.25786002,27.21284,38.7325,32.1669,11.83368015,15.676,1,1,0,0,1,0,1,0,0,0,0,0,prevalent,8,5,0.625,0,0.042254328,0,0,0,1,0,0,0,0,0,0,0,0
abk,Abkhazian,43.08333333,41,Asia,Arab,threatened,2,52874567397,105000,38.98134828,2.787287611,11.90172297,72.80722663,18.83862891,3636.734238,24.364994,34.81081784,31.58096289,12.83079762,9.201508663,16.67871156,0,0.945767814,0,0,0,0,0,0,0,0,0,0,prevalent,4,1,0.25,0.419173907,0.022466245,0,0,0,0,0,0,0,0,1,0,0,0
abp,Abenlen Ayta,15.619,120.378,Asia,South-Eastern Asia,shifting,5,2E+11,3000,41.6,2.595340014,9,68.32,17.17240194,2217.474009,13.58159941,51.31508,26.10296,11.28228,13.26852989,16.385,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,8,0,0,0.437211444,0.029372396,0,0,0,0,0,0,0,1,0,0,0,0
abq,Abaza,44,42,Europe,Europe,threatened,5,1.58E+12,37800,35.4,3.820250034,11.5,68.84121951,18.69748701,11087.82105,24.19585513,,,21.523805,11.48851967,20.561,1,1,0,0,0,0,0,0,0,1,0,0,prevalent,4,0,0,0.051541608,0.007667423,0,0,1,0,0,0,0,0,0,0,0,0
abt,Ambulas,-3.833333333,143,Oceania,Oceania,threatened,5,14250726290,44000,47.8,2.01,4,64.634,16.84059019,1928.29268,20.99035823,30.07011,21.66349,40.42654,10.6982,9.377,1,1,0,0,1,0,0,0,0,0,0,0,prevalent,27,7,0.259259259,0,0.001520399,0,1,0,0,0,0,0,0,0,0,0,0
